ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,LocationDescription,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,XCoordinate,YCoordinate,Year,UpdatedOn,Latitude,Longitude,Location
2291746,HH554855,08/03/2002 10:04:12 AM,002XX N HOMAN AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1123.0,11.0,28.0,27.0,18,1153670.0,1901574.0,2002.0,02/28/2018 03:56:25 PM,41.885757069,-87.711149578,"(41.885757069, -87.711149578)"
6232648,HP318844,05/05/2008 05:25:00 PM,007XX E 35TH ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,True,False,2122.0,2.0,4.0,36.0,04B,1181957.0,1881919.0,2008.0,02/28/2018 03:56:25 PM,41.831212889,-87.607884746,"(41.831212889, -87.607884746)"
13223231,JG439348,09/26/2023 06:30:00 AM,080XX S PAULINA ST,0810,THEFT,OVER $500,APARTMENT,False,True,611.0,6.0,17.0,71.0,06,1166408.0,1851452.0,2023.0,10/04/2023 03:42:34 PM,41.747953871,-87.66580291,"(41.747953871, -87.66580291)"
3058346,HJ776528,11/23/2003 03:06:00 AM,051XX W FERDINAND ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,1532.0,15.0,28.0,25.0,04B,1142113.0,1902793.0,2003.0,02/10/2018 03:50:01 PM,41.889324247,-87.753559478,"(41.889324247, -87.753559478)"
9863239,HX513063,11/19/2014 08:10:00 PM,049XX W HUBBARD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,1532.0,15.0,28.0,25.0,18,1143372.0,1902559.0,2014.0,02/04/2016 06:33:39 AM,41.888658688,-87.748941709,"(41.888658688, -87.748941709)"
2099058,HH330357,04/25/2002 11:00:00 AM,063XX N AVERS AVE,0810,THEFT,OVER $500,OTHER,False,False,1711.0,17.0,39.0,13.0,06,1149554.0,1941932.0,2002.0,02/28/2018 03:56:25 PM,41.996583623,-87.725213108,"(41.996583623, -87.725213108)"
10744921,HZ505791,08/18/2016 05:00:00 PM,046XX W DIVERSEY AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,False,False,2521.0,25.0,31.0,20.0,11,1144875.0,1918210.0,2016.0,02/10/2018 03:50:01 PM,41.931578463,-87.743026506,"(41.931578463, -87.743026506)"
8437458,HV114037,01/11/2012 02:30:00 PM,077XX S KINGSTON AVE,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,False,False,421.0,4.0,7.0,43.0,26,1194533.0,1854211.0,2012.0,02/10/2018 03:50:01 PM,41.754879819,-87.562654754,"(41.754879819, -87.562654754)"
2804894,HJ459064,06/26/2003 10:00:00 PM,059XX S WASHTENAW AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,824.0,8.0,16.0,66.0,05,1159395.0,1865063.0,2003.0,02/10/2018 03:50:01 PM,41.785450889,-87.691128554,"(41.785450889, -87.691128554)"
2322309,HH604708,08/25/2002 09:03:18 PM,050XX W CHICAGO AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1531.0,15.0,37.0,25.0,18,1142454.0,1904846.0,2002.0,02/28/2018 03:56:25 PM,41.894951594,-87.752256111,"(41.894951594, -87.752256111)"
4660942,HM160238,02/03/2006 04:47:55 AM,012XX N ASHLAND AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1433.0,14.0,1.0,24.0,18,1165497.0,1908433.0,2006.0,02/28/2018 03:56:25 PM,41.904335148,-87.667522979,"(41.904335148, -87.667522979)"
3356030,HK402671,06/01/2004 06:35:00 PM,030XX W CULLERTON ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1022.0,10.0,24.0,30.0,05,1156318.0,1890227.0,2004.0,02/28/2018 03:56:25 PM,41.854566632,-87.701732132,"(41.854566632, -87.701732132)"
10889121,JA199322,03/24/2017 09:13:00 PM,078XX S JEFFERY BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,414.0,4.0,8.0,43.0,26,1190896.0,1853388.0,2017.0,02/10/2018 03:50:01 PM,41.752710067,-87.576009627,"(41.752710067, -87.576009627)"
2230058,HH496778,07/08/2002 10:30:00 PM,016XX N KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1421.0,14.0,26.0,23.0,14,1154789.0,1910619.0,2002.0,02/28/2018 03:56:25 PM,41.910555052,-87.706797795,"(41.910555052, -87.706797795)"
1517185,G256439,05/04/2001 05:30:00 PM,054XX S MORGAN ST,0460,BATTERY,SIMPLE,STREET,False,False,934.0,9.0,,,08B,1170524.0,1868968.0,2001.0,08/17/2015 03:03:40 PM,41.795931304,-87.650210759,"(41.795931304, -87.650210759)"
11963856,JD130719,01/27/2020 05:47:00 PM,122XX S GREEN ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,RESIDENTIAL YARD (FRONT/BACK),True,False,524.0,5.0,34.0,53.0,18,1172879.0,1823593.0,2020.0,02/03/2020 03:41:47 PM,41.671364454,-87.642909635,"(41.671364454, -87.642909635)"
6615665,HP688386,11/17/2008 06:40:54 PM,016XX W IRVING PARK RD,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,1923.0,19.0,47.0,6.0,26,1164433.0,1926620.0,2008.0,02/28/2018 03:56:25 PM,41.954263937,-87.6709152,"(41.954263937, -87.6709152)"
7536247,HS324934,05/24/2010 05:00:00 PM,011XX W WILSON AVE,0610,BURGLARY,FORCIBLE ENTRY,HOTEL/MOTEL,False,False,2311.0,19.0,46.0,3.0,05,1167822.0,1930700.0,2010.0,02/10/2018 03:50:01 PM,41.965387049,-87.658338686,"(41.965387049, -87.658338686)"
1425766,G146097,02/20/2001 12:00:00 PM,020XX W ESTES AV,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESIDENCE,False,False,2424.0,24.0,,,11,1161288.0,1947414.0,2001.0,08/17/2015 03:03:40 PM,42.011389607,-87.681895247,"(42.011389607, -87.681895247)"
10890707,JA201394,03/25/2017 12:00:00 PM,041XX W HARRISON ST,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,1132.0,11.0,24.0,26.0,06,1148703.0,1897034.0,2017.0,02/10/2018 03:50:01 PM,41.873396169,-87.729506862,"(41.873396169, -87.729506862)"
5340614,HN195562,02/25/2007 04:40:00 PM,016XX W 80TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,611.0,6.0,21.0,71.0,18,1166828.0,1851662.0,2007.0,02/28/2018 03:56:25 PM,41.748521189,-87.664257909,"(41.748521189, -87.664257909)"
7181832,HR593065,10/16/2009 10:00:00 PM,054XX S WOODLAWN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,False,False,2131.0,2.0,4.0,41.0,06,1185136.0,1869706.0,2009.0,02/28/2018 03:56:25 PM,41.797625303,-87.596605099,"(41.797625303, -87.596605099)"
6760057,HR166156,02/12/2009 12:05:00 AM,071XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,323.0,3.0,6.0,69.0,18,1177523.0,1857601.0,2009.0,02/28/2018 03:56:25 PM,41.76458359,-87.624888602,"(41.76458359, -87.624888602)"
2758538,HJ400394,01/01/2003 11:30:00 AM,089XX S BENNETT AVE,0560,ASSAULT,SIMPLE,ALLEY,False,False,413.0,4.0,8.0,48.0,08A,1190408.0,1846016.0,2003.0,02/28/2018 03:56:25 PM,41.732492389,-87.578035032,"(41.732492389, -87.578035032)"
5202035,HM775968,12/15/2006 07:30:00 AM,0000X E JACKSON BLVD,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),True,False,123.0,1.0,42.0,32.0,07,1176626.0,1899007.0,2006.0,02/28/2018 03:56:25 PM,41.878225414,-87.626928592,"(41.878225414, -87.626928592)"
7027340,HR433800,07/17/2009 12:40:00 PM,085XX S KOLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,834.0,8.0,18.0,70.0,08B,1148909.0,1847556.0,2009.0,02/28/2018 03:56:25 PM,41.737617194,-87.730025671,"(41.737617194, -87.730025671)"
7865712,HS680322,12/28/2010 10:57:00 PM,035XX W GRENSHAW ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,1133.0,11.0,24.0,29.0,24,1152876.0,1894828.0,2010.0,02/04/2016 06:33:39 AM,41.867261084,-87.714244012,"(41.867261084, -87.714244012)"
7853454,HS665319,11/22/2010 07:00:00 AM,056XX S CICERO AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,813.0,8.0,23.0,56.0,06,1145636.0,1866948.0,2010.0,02/10/2018 03:50:01 PM,41.790894568,-87.741528449,"(41.790894568, -87.741528449)"
10692872,HZ447426,09/23/2016 10:00:00 PM,018XX N ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1422.0,14.0,26.0,22.0,14,1153037.0,1911907.0,2016.0,02/10/2018 03:50:01 PM,41.914124377,-87.713199811,"(41.914124377, -87.713199811)"
8724283,HV400631,07/26/2012 12:20:00 AM,045XX S ST LAWRENCE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,221.0,2.0,3.0,38.0,05,1181024.0,1874995.0,2012.0,02/04/2016 06:33:39 AM,41.812234479,-87.611521373,"(41.812234479, -87.611521373)"
3098286,HJ828130,12/20/2003 01:45:00 AM,008XX W LAKE ST,0460,BATTERY,SIMPLE,STREET,False,False,1212.0,12.0,27.0,28.0,08B,1170589.0,1901660.0,2003.0,02/28/2018 03:56:25 PM,41.885639638,-87.649017233,"(41.885639638, -87.649017233)"
7686477,HS492594,08/31/2010 08:40:00 PM,012XX N CENTRAL AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),True,False,2532.0,25.0,37.0,25.0,18,1138787.0,1907525.0,2010.0,02/10/2018 03:50:01 PM,41.902370457,-87.76565911,"(41.902370457, -87.76565911)"
11085879,JA429103,08/13/2017 08:00:00 PM,015XX E 86TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,412.0,4.0,8.0,45.0,11,1187982.0,1847931.0,2017.0,02/10/2018 03:50:01 PM,41.73780542,-87.586861558,"(41.73780542, -87.586861558)"
10896788,JA200775,03/31/2017 06:30:00 PM,0000X E JACKSON BLVD,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,False,False,113.0,1.0,2.0,32.0,26,1176528.0,1899005.0,2017.0,02/10/2018 03:50:01 PM,41.878222138,-87.627288482,"(41.878222138, -87.627288482)"
2521797,HH869244,12/31/2002 10:00:00 AM,014XX N DEARBORN ST,0810,THEFT,OVER $500,ALLEY,False,False,1824.0,18.0,42.0,8.0,06,1175666.0,1910010.0,2002.0,02/28/2018 03:56:25 PM,41.908439851,-87.630122341,"(41.908439851, -87.630122341)"
